Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
4,37,4037,3,60.00%,0,0.00%,1,20.00%,0,0.00%,1,20.00%,0,0.00%,5,,3,0.78%,368,96.08%,5,1.31%,1,0.26%,1,0.26%,0,0.00%,1,0.26%,4,1.04%,383,AA
4,38,4038,232,57.86%,37,9.23%,75,18.70%,45,11.22%,7,1.75%,4,1.00%,401,,388,28.57%,703,51.77%,112,8.25%,107,7.88%,4,0.29%,0,0.00%,6,0.44%,38,2.80%,"1,358",AA
4,39,4039,108,56.84%,6,3.16%,36,18.95%,20,10.53%,10,5.26%,10,5.26%,190,,19,2.38%,749,93.98%,11,1.38%,5,0.63%,1,0.13%,0,0.00%,1,0.13%,10,1.25%,797,AA
4,40,4040,145,57.54%,5,1.98%,71,28.17%,21,8.33%,4,1.59%,6,2.38%,252,,51,4.79%,954,89.66%,20,1.88%,8,0.75%,1,0.09%,0,0.00%,2,0.19%,28,2.63%,"1,064",AA
4,41,4041,67,48.55%,43,31.16%,6,4.35%,18,13.04%,1,0.72%,3,2.17%,138,,362,50.00%,195,26.93%,34,4.70%,99,13.67%,1,0.14%,0,0.00%,2,0.28%,32,4.42%,724,Mixed
4,42,4042,181,57.28%,16,5.06%,63,19.94%,37,11.71%,9,2.85%,10,3.16%,316,,100,7.53%,790,59.49%,32,2.41%,373,28.09%,2,0.15%,0,0.00%,0,0.00%,29,2.18%,"1,328",AA
4,43,4043,97,57.40%,31,18.34%,23,13.61%,12,7.10%,3,1.78%,3,1.78%,169,,292,53.87%,110,20.30%,43,7.93%,70,12.92%,1,0.18%,0,0.00%,3,0.55%,24,4.43%,542,White
4,44,4044,100,62.89%,13,8.18%,30,18.87%,12,7.55%,3,1.89%,2,1.26%,159,,352,37.85%,330,35.48%,63,6.77%,145,15.59%,5,0.54%,0,0.00%,5,0.54%,35,3.76%,930,Mixed
4,45,4045,307,66.31%,29,6.26%,80,17.28%,32,6.91%,8,1.73%,7,1.51%,463,,54,24.11%,124,55.36%,10,4.46%,28,12.50%,0,0.00%,0,0.00%,1,0.45%,7,3.13%,224,AA
4,46,4046,92,50.00%,13,7.07%,42,22.83%,21,11.41%,10,5.43%,6,3.26%,184,,93,14.22%,507,77.52%,18,2.75%,16,2.45%,0,0.00%,0,0.00%,2,0.31%,18,2.75%,654,AA
4,47,4047,189,53.54%,67,18.98%,53,15.01%,34,9.63%,8,2.27%,5,1.42%,353,,685,28.51%,"1,188",49.44%,141,5.87%,294,12.23%,6,0.25%,0,0.00%,11,0.46%,77,3.20%,"2,403",Mixed
4,48,4048,252,66.14%,41,10.76%,41,10.76%,37,9.71%,8,2.10%,2,0.52%,381,,164,24.22%,374,55.24%,29,4.28%,84,12.41%,1,0.15%,0,0.00%,3,0.44%,21,3.10%,677,AA
4,49,4049,123,60.00%,8,3.90%,50,24.39%,15,7.32%,4,1.95%,5,2.44%,205,,10,2.78%,330,91.67%,10,2.78%,1,0.28%,0,0.00%,0,0.00%,0,0.00%,8,2.22%,360,AA
4,50,4050,151,58.08%,11,4.23%,51,19.62%,35,13.46%,9,3.46%,3,1.15%,260,,19,1.94%,919,94.06%,16,1.64%,3,0.31%,1,0.10%,0,0.00%,0,0.00%,19,1.94%,977,AA
4,51,4051,167,62.55%,12,4.49%,48,17.98%,25,9.36%,8,3.00%,7,2.62%,267,,8,4.15%,141,73.06%,3,1.55%,35,18.13%,0,0.00%,0,0.00%,1,0.52%,5,2.59%,193,AA
4,52,4052,164,55.59%,8,2.71%,78,26.44%,20,6.78%,16,5.42%,8,2.71%,295,,22,3.12%,589,83.43%,11,1.56%,69,9.77%,0,0.00%,0,0.00%,2,0.28%,13,1.84%,706,AA
